the los
israeli israelíes
composer compositor
archaeology arqueología
controversy controversia
controversy polémica
expenses gastos
applicable aplicable
applicable aplicables
guilty culpable
guilty culpables
cave cueva
sizes tamaños
lincoln lincoln
cruise crucero
survival supervivencia
fallen caído
cape cabo
creates crea
ladies damas
ladies estimadas
ladies estimados
ladies señoras
quoted citado
currency moneda
foster foster
walter walter
variation variación
clock reloj
survived sobrevivido
licensing licencias
priest sacerdote
coalition coalición
norway noruega
communicate comunicar
communicate comunicarse
cleaning limpieza
attract atraer
counties condados
douglas douglas
rob rob
infantry infantería
modelling modelización
belfast belfast
enormous enorme
enormous enormes
toys juguetes
flower flor
flower flower
isle isla
maria maria
maria maría
optional facultativo
optional opcional
optional optativo
traditionally tradicionalmente
verse verso
verse versículo
identifying identificar
satisfied satisfecha
satisfied satisfecho
satisfied satisfechos
ferry transbordador
lesson lección
magazines revistas
traditions tradiciones
devoted dedicado
afford permitirse
lawrence lawrence
lawrence lorenzo
journalist periodista
developers desarrolladores
gear artes
singapore singapur
weapon arma
brigade brigada
photograph foto
photograph fotografía
bits cbi
bits tbi
expenditure administrativos
expenditure gasto
expenditure gastos
angle ángulo
beliefs creencias
stewart stewart
cameras cámaras
arab árabe
arab árabes
throw tirar
reserves reservas
ross ross
adapted adaptado
logo logo
logo logotipo
stability estabilidad
stability pacto
diabetes diabetes
gulf abismo
gulf golfo
classification clasificación
angel angel
angel ángel
woods bretton
hosts anfitriones
annually anualmente
reflected refleja
reflected reflejado
keys claves
christianity cristianismo
desk documentos
apartment apartamento
apartment apartamentos
cultures culturas
northwest noroccidental
northwest noroeste
lieutenant teniente
negotiations negociaciones
emissions emisiones
robinson robinson
campbell campbell
southampton southampton
oak roble
volumes volúmenes
cuts recortes
rocks rocas
hiv vih
diagnosis diagnóstico
offence delito
trends tendencias
divisions divisiones
hull casco
hull hull
morris morris
victim víctima
chancellor canciller
novels novelas
surveys encuestas
disorder desorden
hms hms
protest protesta
protest protestar
mystery misterio
carers cuidadores
toy juguete
dining cenando
dining cenas
export exportación
export exportar
amendment enmienda
shadow alternativo
shadow alternativos
shadow sombra
vietnam vietnam
arise surgen
arise surgir
fantasy fantasía
sing cantar
switzerland suiza
passion pasión
barry barry
suicide suicidas
suicide suicidio
completing completar
consultancy asesoría
consultancy consultoría
delegates delegados
shower ducha
blog blog
seminars seminarios
governing rigen
wright wright
terry terry
electoral electoral
electoral electorales
asylum asilo
athens atenas
elderly ancianos
literally literalmente
promised prometido
promised prometió
eggs huevos
shock choque
shock conmoción
drinks bebidas
tutor tutor
opinions opiniones
bomb bomba
declaration declaración
taxes impuestos
surprised sorprende
surprised sorprendido
correctly correctamente
luxury lujo
moscow moscú
editorial editorial
sin pecado
cycling ciclismo
violent violenta
violent violentas
violent violento
violent violentos
depend dependen
reign reinado
reign reino
divine divina
divine divino
sporting deportivas
sporting deportivo
sporting deportivos
facilitate facilitar
estimate estimación
desert desierto
spectacular espectacular
spectacular espectaculares
virgin virgen
virgin virgin
virgin vírgenes
impressed impresionada
impressed impresionado
caribbean caribe
wings alas
functional funcional
functional funcionales
cooking cocina
cooking cocinar
investors inversores
liquid líquido
liquid líquidos
administrator administrador
administrator administradora
cope cope
grammar gramática
consultants asesores
consultants consultores
printer impresor
printer impresora
printer impresoras
architect arquitecto
architect artífice
reveal revelan
reveal revelar
testament testamento
amateur aficionado
amateur aficionados
austria austria
aviation aviación
aviation aérea
allied aliadas
allied aliado
allied allied
bread pan
bottle botella
configuration configuración
cats gatos
beds camas
politicians políticos
shakespeare shakespeare
forests bosques
durham durham
ski esquí
murray murray
harm daño
horror horror
provincial provincial
provincial provinciales
occasional ocasional
occasional ocasionales
signing firma
signing firmar
capabilities capacidades
perceived percibe
variations variaciones
internationally internacionalmente
morgan morgan
sue sue
corresponding correspondiente
corresponding correspondientes
examined examinado
mps mps
honest honesto
honest honestos
honest sinceros
pregnancy embarazo
lancashire lancashire
tissue tejidos
offensive ofensiva
offensive ofensivo
deposit depósito
deposit depósitos
samuel samuel
nobody nadie
acres acres
lawyer abogado
legacy herencia
legacy legado
hamilton hamilton
alleged supuesta
alleged supuestos
solve resolver
solve solucionar
quantity cantidad
trend tendencia
burning candente
roy roy
strip franja
demographics demografía
pursue perseguir
seeks busca
forthcoming próxima
forthcoming próximas
customs aduanera
customs aduaneras
customs aduanero
customs aduaneros
turkish turca
turkish turcas
turkish turco
turkish turcos
vessel barco
vessel buque
vessel buques
sisters hermanas
millennium milenio
millennium objetivos
meals comidas
terrorism terrorismo
pocket bolsillo
clay arcilla
clay barro
inspiration inspiración
treatments tratamientos
commune comuna
perception percepción
presidential presidencial
presidential presidenciales
resolved resuelto
fraud fraude
sad sad
sad triste
measurement medición
wells pozos
wells wells
convinced convencida
convinced convencido
adoption adopción
adoption aprobación
fault culpa
inches pulgadas
loop bucle
loop circuito
glory gloria
glory glory
waves olas
waves oleadas
waves waves
stunning aturdimiento
receives reciba
receives recibe
patent patente
patent patentes
estimates estimaciones
overcome superar
bills facturas
affordable asequible
affordable asequibles
belgium bélgica
achievements logros
influential influyente
influential influyentes
equity equidad
confused confusa
confused confuso
syndrome síndrome
observation observación
reveals revela
flood inundación
introducing introducir
seeds semillas
exceptional excepcional
exceptional excepcionales
saints orégano
saints santos
publishers editores
publishers editoriales
adams adams
architectural arquitectónico
colonel coronel
flows flujos
flows migratorios
melbourne melbourne
correspondence correspondencia
lying mentir
sheets fichas
sheets hojas
inland interiores
evans evans
competitions competiciones
competitions concursos
belt belt
belt cinturón
matrix matriz
easter pascua
confusion confusión
appeals llamamientos
permit permiso
davies davies
charlie charlie
conclusions conclusiones
badly mal
dreams sueños
mills mills
mills molinos
cotton algodón
gates gates
acceptance aceptación
keyboard frenéticamente
keyboard teclado
consequence consecuencia
reflects refleja
loose sueltos
teeth dientes
signals señales
villa chalet
villa mansión
villa villa
variables variables
identical idéntica
identical idénticas
identical idéntico
identical idénticos
intelligent inteligente
intelligent inteligentes
moreover además
jerusalem jerusalén
rely confiar
dental dental
dental dentales
constituency circunscripción
pleasant agradable
lakes lagos
breeding cría
judgment juicio
judgment sentencia
formats formatos
guaranteed garantizada
guaranteed garantizado
dimensions dimensiones
euro euro
bearing teniendo
veterinary veterinaria
veterinary veterinarias
veterinary veterinario
veterinary veterinarios
sri lanka
generations generaciones
baker baker
baker panadero
reasonably razonablemente
dominated dominada
dominated dominado
mutual mutua
mutual mutuo
constitutional constitucional
constitutional constitucionales
eleven once
breach incumplimiento
municipal municipal
municipal municipales
basically básicamente
subscription suscripción
exclusively exclusivamente
chocolate chocolate
com com
com ocm
clause cláusula
praise elogiar
praise elogio
praise elogios
isolated aislada
isolated aisladas
isolated aislado
isolated aislados
instant instantáneo
calculated calculado
korean corea
kennedy kennedy
uniform uniforme
uniform uniformes
extraordinary extraordinaria
extraordinary extraordinarias
extraordinary extraordinario
influences influencias
acted actuado
uncle tío
allocated asignado
allocated asignados
populations poblaciones
spare piezas
counter contrarrestar
wire alambre
kick patada
incidents incidentes
derby derby
babies bebés
complicated complicada
complicated complicado
theology teología
deaf saco
deaf sordos
earn ganan
