los the
israelíes israeli
compositor composer
arqueología archaeology
controversia controversy
polémica controversy
gastos expenses
aplicable applicable
aplicables applicable
culpable guilty
culpables guilty
cueva cave
tamaños sizes
lincoln lincoln
crucero cruise
supervivencia survival
caído fallen
cabo cape
crea creates
damas ladies
estimadas ladies
estimados ladies
señoras ladies
citado quoted
moneda currency
foster foster
walter walter
variación variation
reloj clock
sobrevivido survived
licencias licensing
sacerdote priest
coalición coalition
noruega norway
comunicar communicate
comunicarse communicate
limpieza cleaning
atraer attract
condados counties
douglas douglas
rob rob
infantería infantry
modelización modelling
belfast belfast
enorme enormous
enormes enormous
juguetes toys
flor flower
flower flower
isla isle
maria maria
maría maria
facultativo optional
opcional optional
optativo optional
tradicionalmente traditionally
verso verse
versículo verse
identificar identifying
satisfecha satisfied
satisfecho satisfied
satisfechos satisfied
transbordador ferry
lección lesson
revistas magazines
tradiciones traditions
dedicado devoted
permitirse afford
lawrence lawrence
lorenzo lawrence
periodista journalist
desarrolladores developers
artes gear
singapur singapore
arma weapon
brigada brigade
foto photograph
fotografía photograph
cbi bits
tbi bits
administrativos expenditure
gasto expenditure
gastos expenditure
ángulo angle
creencias beliefs
stewart stewart
cámaras cameras
árabe arab
árabes arab
tirar throw
reservas reserves
ross ross
adaptado adapted
logo logo
logotipo logo
estabilidad stability
pacto stability
diabetes diabetes
abismo gulf
golfo gulf
clasificación classification
angel angel
ángel angel
bretton woods
anfitriones hosts
anualmente annually
refleja reflected
reflejado reflected
claves keys
cristianismo christianity
documentos desk
apartamento apartment
apartamentos apartment
culturas cultures
noroccidental northwest
noroeste northwest
teniente lieutenant
negociaciones negotiations
emisiones emissions
robinson robinson
campbell campbell
southampton southampton
roble oak
volúmenes volumes
recortes cuts
rocas rocks
vih hiv
diagnóstico diagnosis
delito offence
tendencias trends
divisiones divisions
casco hull
hull hull
morris morris
víctima victim
canciller chancellor
novelas novels
encuestas surveys
desorden disorder
hms hms
protesta protest
protestar protest
misterio mystery
cuidadores carers
juguete toy
cenando dining
cenas dining
exportación export
exportar export
enmienda amendment
alternativo shadow
alternativos shadow
sombra shadow
vietnam vietnam
surgen arise
surgir arise
fantasía fantasy
cantar sing
suiza switzerland
pasión passion
barry barry
suicidas suicide
suicidio suicide
completar completing
asesoría consultancy
consultoría consultancy
delegados delegates
ducha shower
blog blog
seminarios seminars
rigen governing
wright wright
terry terry
electoral electoral
electorales electoral
asilo asylum
atenas athens
ancianos elderly
literalmente literally
prometido promised
prometió promised
huevos eggs
choque shock
conmoción shock
bebidas drinks
tutor tutor
opiniones opinions
bomba bomb
declaración declaration
impuestos taxes
sorprende surprised
sorprendido surprised
correctamente correctly
lujo luxury
moscú moscow
editorial editorial
pecado sin
ciclismo cycling
violenta violent
violentas violent
violento violent
violentos violent
dependen depend
reinado reign
reino reign
divina divine
divino divine
deportivas sporting
deportivo sporting
deportivos sporting
facilitar facilitate
estimación estimate
desierto desert
espectacular spectacular
espectaculares spectacular
virgen virgin
virgin virgin
vírgenes virgin
impresionada impressed
impresionado impressed
caribe caribbean
alas wings
funcional functional
funcionales functional
cocina cooking
cocinar cooking
inversores investors
líquido liquid
líquidos liquid
administrador administrator
administradora administrator
cope cope
gramática grammar
asesores consultants
consultores consultants
impresor printer
impresora printer
impresoras printer
arquitecto architect
artífice architect
revelan reveal
revelar reveal
testamento testament
aficionado amateur
aficionados amateur
austria austria
aviación aviation
aérea aviation
aliadas allied
aliado allied
allied allied
pan bread
botella bottle
configuración configuration
gatos cats
camas beds
políticos politicians
shakespeare shakespeare
bosques forests
durham durham
esquí ski
murray murray
daño harm
horror horror
provincial provincial
provinciales provincial
ocasional occasional
ocasionales occasional
firma signing
firmar signing
capacidades capabilities
percibe perceived
variaciones variations
internacionalmente internationally
morgan morgan
sue sue
correspondiente corresponding
correspondientes corresponding
examinado examined
mps mps
honesto honest
honestos honest
sinceros honest
embarazo pregnancy
lancashire lancashire
tejidos tissue
ofensiva offensive
ofensivo offensive
depósito deposit
depósitos deposit
samuel samuel
nadie nobody
acres acres
abogado lawyer
herencia legacy
legado legacy
hamilton hamilton
supuesta alleged
supuestos alleged
resolver solve
solucionar solve
cantidad quantity
tendencia trend
candente burning
roy roy
franja strip
demografía demographics
perseguir pursue
busca seeks
próxima forthcoming
próximas forthcoming
aduanera customs
aduaneras customs
aduanero customs
aduaneros customs
turca turkish
turcas turkish
turco turkish
turcos turkish
barco vessel
buque vessel
buques vessel
hermanas sisters
milenio millennium
objetivos millennium
comidas meals
terrorismo terrorism
bolsillo pocket
arcilla clay
barro clay
inspiración inspiration
tratamientos treatments
comuna commune
percepción perception
presidencial presidential
presidenciales presidential
resuelto resolved
fraude fraud
sad sad
triste sad
medición measurement
pozos wells
wells wells
convencida convinced
convencido convinced
adopción adoption
aprobación adoption
culpa fault
pulgadas inches
bucle loop
circuito loop
gloria glory
glory glory
olas waves
oleadas waves
waves waves
aturdimiento stunning
reciba receives
recibe receives
patente patent
patentes patent
estimaciones estimates
superar overcome
facturas bills
asequible affordable
asequibles affordable
bélgica belgium
logros achievements
influyente influential
influyentes influential
equidad equity
confusa confused
confuso confused
síndrome syndrome
observación observation
revela reveals
inundación flood
introducir introducing
semillas seeds
excepcional exceptional
excepcionales exceptional
orégano saints
santos saints
editores publishers
editoriales publishers
adams adams
arquitectónico architectural
coronel colonel
flujos flows
migratorios flows
melbourne melbourne
correspondencia correspondence
mentir lying
fichas sheets
hojas sheets
interiores inland
evans evans
competiciones competitions
concursos competitions
belt belt
cinturón belt
matriz matrix
pascua easter
confusión confusion
llamamientos appeals
permiso permit
davies davies
charlie charlie
conclusiones conclusions
mal badly
sueños dreams
mills mills
molinos mills
algodón cotton
gates gates
aceptación acceptance
frenéticamente keyboard
teclado keyboard
consecuencia consequence
refleja reflects
sueltos loose
dientes teeth
señales signals
chalet villa
mansión villa
villa villa
variables variables
idéntica identical
idénticas identical
idéntico identical
idénticos identical
inteligente intelligent
inteligentes intelligent
además moreover
jerusalén jerusalem
confiar rely
dental dental
dentales dental
circunscripción constituency
agradable pleasant
lagos lakes
cría breeding
juicio judgment
sentencia judgment
formatos formats
garantizada guaranteed
garantizado guaranteed
dimensiones dimensions
euro euro
teniendo bearing
veterinaria veterinary
veterinarias veterinary
veterinario veterinary
veterinarios veterinary
lanka sri
generaciones generations
baker baker
panadero baker
razonablemente reasonably
dominada dominated
dominado dominated
mutua mutual
mutuo mutual
constitucional constitutional
constitucionales constitutional
once eleven
incumplimiento breach
municipal municipal
municipales municipal
básicamente basically
suscripción subscription
exclusivamente exclusively
chocolate chocolate
com com
ocm com
cláusula clause
elogiar praise
elogio praise
elogios praise
aislada isolated
aisladas isolated
aislado isolated
aislados isolated
instantáneo instant
calculado calculated
corea korean
kennedy kennedy
uniforme uniform
uniformes uniform
extraordinaria extraordinary
extraordinarias extraordinary
extraordinario extraordinary
influencias influences
actuado acted
tío uncle
asignado allocated
asignados allocated
poblaciones populations
piezas spare
contrarrestar counter
alambre wire
patada kick
incidentes incidents
derby derby
bebés babies
complicada complicated
complicado complicated
teología theology
saco deaf
sordos deaf
ganan earn
